Symbol	RNA
Spon1	Spon1	Gene Expression
Rras2	Rras2	Gene Expression
Copb1	Copb1	Gene Expression
Psma1	Psma1	Gene Expression
Pde3b	Pde3b	Gene Expression
Cyp2r1	Cyp2r1	Gene Expression
Insc	Insc	Gene Expression
Sox6	Sox6	Gene Expression
Sox6os	Sox6os	Gene Expression
1110004F10Rik	1110004F10Rik	Gene Expression
Plekha7	Plekha7	Gene Expression
Rps13	Rps13	Gene Expression
Gm44777	Gm44777	Gene Expression
Pik3c2a	Pik3c2a	Gene Expression
Nucb2	Nucb2	Gene Expression
Rps15a	Rps15a	Gene Expression
Arl6ip1	Arl6ip1	Gene Expression
Smg1	Smg1	Gene Expression
Itpripl2	Itpripl2	Gene Expression
Coq7	Coq7	Gene Expression
Tmc7	Tmc7	Gene Expression
Gde1	Gde1	Gene Expression
Ccp110	Ccp110	Gene Expression
9030624J02Rik	9030624J02Rik	Gene Expression
Knop1	Knop1	Gene Expression
Pdilt	Pdilt	Gene Expression
Acsm5	Acsm5	Gene Expression
Acsm2	Acsm2	Gene Expression
Acsm1	Acsm1	Gene Expression
Gm19950	Gm19950	Gene Expression
Gm45792	Gm45792	Gene Expression
Thumpd1	Thumpd1	Gene Expression
Acsm3	Acsm3	Gene Expression
Eri2	Eri2	Gene Expression
Rexo5	Rexo5	Gene Expression
Dcun1d3	Dcun1d3	Gene Expression
Lyrm1	Lyrm1	Gene Expression
Tmem159	Tmem159	Gene Expression
Anks4b	Anks4b	Gene Expression
Crym	Crym	Gene Expression
Uqcrc2	Uqcrc2	Gene Expression
Mosmo	Mosmo	Gene Expression
Eef2k	Eef2k	Gene Expression
Polr3e	Polr3e	Gene Expression
Cdr2	Cdr2	Gene Expression
Mettl9	Mettl9	Gene Expression
Igsf6	Igsf6	Gene Expression
Usp31	Usp31	Gene Expression
Cog7	Cog7	Gene Expression
Gga2	Gga2	Gene Expression
Ears2	Ears2	Gene Expression
Ubfd1	Ubfd1	Gene Expression
Ndufab1	Ndufab1	Gene Expression
Palb2	Palb2	Gene Expression
Dctn5	Dctn5	Gene Expression
Plk1	Plk1	Gene Expression
Chp2	Chp2	Gene Expression
Prkcb	Prkcb	Gene Expression
Rbbp6	Rbbp6	Gene Expression
Tnrc6a	Tnrc6a	Gene Expression
Arhgap17	Arhgap17	Gene Expression
Lcmt1	Lcmt1	Gene Expression
Aqp8	Aqp8	Gene Expression
Kdm8	Kdm8	Gene Expression
Nsmce1	Nsmce1	Gene Expression
Il4ra	Il4ra	Gene Expression
Il21r	Il21r	Gene Expression
Gtf3c1	Gtf3c1	Gene Expression
D430042O09Rik	D430042O09Rik	Gene Expression
Xpo6	Xpo6	Gene Expression
Sbk1	Sbk1	Gene Expression
Spns1	Spns1	Gene Expression
Nfatc2ip	Nfatc2ip	Gene Expression
Rabep2	Rabep2	Gene Expression
Sh2b1	Sh2b1	Gene Expression
Tufm	Tufm	Gene Expression
Atxn2l	Atxn2l	Gene Expression
Eif3c	Eif3c	Gene Expression
Cln3	Cln3	Gene Expression
Nupr1	Nupr1	Gene Expression
2510046G10Rik	2510046G10Rik	Gene Expression
Sgf29	Sgf29	Gene Expression
Sult1a1	Sult1a1	Gene Expression
Slx1b	Slx1b	Gene Expression
Bola2	Bola2	Gene Expression
Coro1a	Coro1a	Gene Expression
Mapk3	Mapk3	Gene Expression
Gdpd3	Gdpd3	Gene Expression
Ypel3	Ypel3	Gene Expression
Ppp4c	Ppp4c	Gene Expression
Aldoa	Aldoa	Gene Expression
Ino80e	Ino80e	Gene Expression
Hirip3	Hirip3	Gene Expression
Taok2	Taok2	Gene Expression
Tmem219	Tmem219	Gene Expression
Kctd13	Kctd13	Gene Expression
Cdiptos	Cdiptos	Gene Expression
Cdipt	Cdipt	Gene Expression
Mvp	Mvp	Gene Expression
Pagr1a	Pagr1a	Gene Expression
Maz	Maz	Gene Expression
Kif22	Kif22	Gene Expression
Qprt	Qprt	Gene Expression
Cd2bp2	Cd2bp2	Gene Expression
Tbc1d10b	Tbc1d10b	Gene Expression
Mylpf	Mylpf	Gene Expression
Sept1	Sept1	Gene Expression
Zfp553	Zfp553	Gene Expression
Zfp771	Zfp771	Gene Expression
Dctpp1	Dctpp1	Gene Expression
Sephs2	Sephs2	Gene Expression
Itgal	Itgal	Gene Expression
Zfp768	Zfp768	Gene Expression
Zfp747	Zfp747	Gene Expression
9130019O22Rik	9130019O22Rik	Gene Expression
E430018J23Rik	E430018J23Rik	Gene Expression
Zfp764	Zfp764	Gene Expression
Zfp688	Zfp688	Gene Expression
Zfp689	Zfp689	Gene Expression
Prr14	Prr14	Gene Expression
Fbrs	Fbrs	Gene Expression
1700008J07Rik	1700008J07Rik	Gene Expression
Srcap	Srcap	Gene Expression
Gm42715	Gm42715	Gene Expression
Phkg2	Phkg2	Gene Expression
Ccdc189	Ccdc189	Gene Expression
Rnf40	Rnf40	Gene Expression
Zfp629	Zfp629	Gene Expression
Bcl7c	Bcl7c	Gene Expression
Ctf1	Ctf1	Gene Expression
Fbxl19	Fbxl19	Gene Expression
Orai3	Orai3	Gene Expression
Setd1a	Setd1a	Gene Expression
Hsd3b7	Hsd3b7	Gene Expression
Stx1b	Stx1b	Gene Expression
Stx4a	Stx4a	Gene Expression
Zfp668	Zfp668	Gene Expression
Zfp646	Zfp646	Gene Expression
Prss53	Prss53	Gene Expression
Vkorc1	Vkorc1	Gene Expression
Bckdk	Bckdk	Gene Expression
Kat8	Kat8	Gene Expression
Prss8	Prss8	Gene Expression
Prss36	Prss36	Gene Expression
Fus	Fus	Gene Expression
Pycard	Pycard	Gene Expression
Itgam	Itgam	Gene Expression
9130023H24Rik	9130023H24Rik	Gene Expression
Armc5	Armc5	Gene Expression
Tgfb1i1	Tgfb1i1	Gene Expression
BC017158	BC017158	Gene Expression
Rgs10	Rgs10	Gene Expression
Tial1	Tial1	Gene Expression
Bag3	Bag3	Gene Expression
Inpp5f	Inpp5f	Gene Expression
Mcmbp	Mcmbp	Gene Expression
Gm44672	Gm44672	Gene Expression
Sec23ip	Sec23ip	Gene Expression
Wdr11	Wdr11	Gene Expression
Fgfr2	Fgfr2	Gene Expression
Ate1	Ate1	Gene Expression
Nsmce4a	Nsmce4a	Gene Expression
Tacc2	Tacc2	Gene Expression
Plekha1	Plekha1	Gene Expression
Htra1	Htra1	Gene Expression
2310057M21Rik	2310057M21Rik	Gene Expression
Pstk	Pstk	Gene Expression
Ikzf5	Ikzf5	Gene Expression
Acadsb	Acadsb	Gene Expression
Bub3	Bub3	Gene Expression
Chst15	Chst15	Gene Expression
Oat	Oat	Gene Expression
Lhpp	Lhpp	Gene Expression
Fam53b	Fam53b	Gene Expression
Eef1akmt2	Eef1akmt2	Gene Expression
Abraxas2	Abraxas2	Gene Expression
Zranb1	Zranb1	Gene Expression
Ctbp2	Ctbp2	Gene Expression
Edrf1	Edrf1	Gene Expression
Uros	Uros	Gene Expression
Bccip	Bccip	Gene Expression
Dhx32	Dhx32	Gene Expression
Dock1	Dock1	Gene Expression
Ptpre	Ptpre	Gene Expression
Mki67	Mki67	Gene Expression
Mgmt	Mgmt	Gene Expression
9430038I01Rik	9430038I01Rik	Gene Expression
Glrx3	Glrx3	Gene Expression
Mapk1ip1	Mapk1ip1	Gene Expression
Ppp2r2d	Ppp2r2d	Gene Expression
Bnip3	Bnip3	Gene Expression
Lrrc27	Lrrc27	Gene Expression
Pwwp2b	Pwwp2b	Gene Expression
Inpp5a	Inpp5a	Gene Expression
Tubgcp2	Tubgcp2	Gene Expression
Zfp511	Zfp511	Gene Expression
Fuom	Fuom	Gene Expression
Echs1	Echs1	Gene Expression
Paox	Paox	Gene Expression
Mtg1	Mtg1	Gene Expression
Sprn	Sprn	Gene Expression
Cyp2e1	Cyp2e1	Gene Expression
Zfp941	Zfp941	Gene Expression
Urah	Urah	Gene Expression
Scgb1c1	Scgb1c1	Gene Expression
Bet1l	Bet1l	Gene Expression
Ric8a	Ric8a	Gene Expression
Sirt3	Sirt3	Gene Expression
Psmd13	Psmd13	Gene Expression
Nlrp6	Nlrp6	Gene Expression
Pgghg	Pgghg	Gene Expression
Ifitm5	Ifitm5	Gene Expression
Ifitm2	Ifitm2	Gene Expression
Ifitm1	Ifitm1	Gene Expression
Ifitm3	Ifitm3	Gene Expression
Ifitm6	Ifitm6	Gene Expression
Pkp3	Pkp3	Gene Expression
Sigirr	Sigirr	Gene Expression
Ptdss2	Ptdss2	Gene Expression
Rnh1	Rnh1	Gene Expression
Hras	Hras	Gene Expression
Lrrc56	Lrrc56	Gene Expression
Lmntd2	Lmntd2	Gene Expression
Rassf7	Rassf7	Gene Expression
Phrf1	Phrf1	Gene Expression
Irf7	Irf7	Gene Expression
Cdhr5	Cdhr5	Gene Expression
Deaf1	Deaf1	Gene Expression
Tmem80	Tmem80	Gene Expression
Eps8l2	Eps8l2	Gene Expression
Taldo1	Taldo1	Gene Expression
Gatd1	Gatd1	Gene Expression
Cend1	Cend1	Gene Expression
Slc25a22	Slc25a22	Gene Expression
Pidd1	Pidd1	Gene Expression
Rplp2	Rplp2	Gene Expression
Pnpla2	Pnpla2	Gene Expression
Cracr2b	Cracr2b	Gene Expression
Cd151	Cd151	Gene Expression
Polr2l	Polr2l	Gene Expression
Tspan4	Tspan4	Gene Expression
Chid1	Chid1	Gene Expression
Ap2a2	Ap2a2	Gene Expression
Tollip	Tollip	Gene Expression
Mob2	Mob2	Gene Expression
Dusp8	Dusp8	Gene Expression
Ifitm10	Ifitm10	Gene Expression
Ctsd	Ctsd	Gene Expression
Mrpl23	Mrpl23	Gene Expression
Cd81	Cd81	Gene Expression
Tssc4	Tssc4	Gene Expression
Kcnq1	Kcnq1	Gene Expression
Kcnq1ot1	Kcnq1ot1	Gene Expression
Cdkn1c	Cdkn1c	Gene Expression
Slc22a18	Slc22a18	Gene Expression
Phlda2	Phlda2	Gene Expression
Nap1l4	Nap1l4	Gene Expression
Cars	Cars	Gene Expression
Tnfrsf22	Tnfrsf22	Gene Expression
Tnfrsf23	Tnfrsf23	Gene Expression
Osbpl5	Osbpl5	Gene Expression
Mrgpre	Mrgpre	Gene Expression
Nadsyn1	Nadsyn1	Gene Expression
Dhcr7	Dhcr7	Gene Expression
Shank2	Shank2	Gene Expression
Cttn	Cttn	Gene Expression
Ppfia1	Ppfia1	Gene Expression
Fadd	Fadd	Gene Expression
Ano1	Ano1	Gene Expression
Bc1	Bc1	Gene Expression
Oraov1	Oraov1	Gene Expression
Ccnd1	Ccnd1	Gene Expression
Tpcn2	Tpcn2	Gene Expression
Iyd	Iyd	Gene Expression
Plekhg1	Plekhg1	Gene Expression
Mthfd1l	Mthfd1l	Gene Expression
Akap12	Akap12	Gene Expression
Zbtb2	Zbtb2	Gene Expression
Gm21781	Gm21781	Gene Expression
Rmnd1	Rmnd1	Gene Expression
Armt1	Armt1	Gene Expression
Esr1	Esr1	Gene Expression
Syne1	Syne1	Gene Expression
Myct1	Myct1	Gene Expression
Fbxo5	Fbxo5	Gene Expression
Mtrf1l	Mtrf1l	Gene Expression
Cnksr3	Cnksr3	Gene Expression
Lrp11	Lrp11	Gene Expression
Pcmt1	Pcmt1	Gene Expression
Nup43	Nup43	Gene Expression
Lats1	Lats1	Gene Expression
Katna1	Katna1	Gene Expression
Ginm1	Ginm1	Gene Expression
B430219N15Rik	B430219N15Rik	Gene Expression
Ppil4	Ppil4	Gene Expression
Zc3h12d	Zc3h12d	Gene Expression
Tab2	Tab2	Gene Expression
Ust	Ust	Gene Expression
Sash1	Sash1	Gene Expression
Gm48727	Gm48727	Gene Expression
Samd5	Samd5	Gene Expression
Stxbp5	Stxbp5	Gene Expression
Rab32	Rab32	Gene Expression
Shprh	Shprh	Gene Expression
Fbxo30	Fbxo30	Gene Expression
Epm2a	Epm2a	Gene Expression
Utrn	Utrn	Gene Expression
B230208H11Rik	B230208H11Rik	Gene Expression
Sf3b5	Sf3b5	Gene Expression
Ltv1	Ltv1	Gene Expression
Phactr2	Phactr2	Gene Expression
Fuca2	Fuca2	Gene Expression
Pex3	Pex3	Gene Expression
Adat2	Adat2	Gene Expression
Aig1	Aig1	Gene Expression
Hivep2	Hivep2	Gene Expression
Vta1	Vta1	Gene Expression
Cited2	Cited2	Gene Expression
Heca	Heca	Gene Expression
Abracl	Abracl	Gene Expression
Reps1	Reps1	Gene Expression
Ccdc28a	Ccdc28a	Gene Expression
Nhsl1	Nhsl1	Gene Expression
Hebp2	Hebp2	Gene Expression
Perp	Perp	Gene Expression
Tnfaip3	Tnfaip3	Gene Expression
Ifngr1	Ifngr1	Gene Expression
Pex7	Pex7	Gene Expression
Map3k5	Map3k5	Gene Expression
Map7	Map7	Gene Expression
4933406P04Rik	4933406P04Rik	Gene Expression
Bclaf1	Bclaf1	Gene Expression
Mtfr2	Mtfr2	Gene Expression
Pde7b	Pde7b	Gene Expression
Ahi1	Ahi1	Gene Expression
Hbs1l	Hbs1l	Gene Expression
Aldh8a1	Aldh8a1	Gene Expression
Sgk1	Sgk1	Gene Expression
Slc2a12	Slc2a12	Gene Expression
Tbpl1	Tbpl1	Gene Expression
Tcf21	Tcf21	Gene Expression
Rps12	Rps12	Gene Expression
Slc18b1	Slc18b1	Gene Expression
Vnn3	Vnn3	Gene Expression
Vnn1	Vnn1	Gene Expression
Stx7	Stx7	Gene Expression
Ctgf	Ctgf	Gene Expression
Enpp1	Enpp1	Gene Expression
Enpp3	Enpp3	Gene Expression
Med23	Med23	Gene Expression
Arg1	Arg1	Gene Expression
Akap7	Akap7	Gene Expression
Epb41l2	Epb41l2	Gene Expression
Smlr1	Smlr1	Gene Expression
Gm29571	Gm29571	Gene Expression
Gm36908	Gm36908	Gene Expression
L3mbtl3	L3mbtl3	Gene Expression
Arhgap18	Arhgap18	Gene Expression
Ptprk	Ptprk	Gene Expression
Echdc1	Echdc1	Gene Expression
Rnf146	Rnf146	Gene Expression
Rspo3	Rspo3	Gene Expression
Cenpw	Cenpw	Gene Expression
Trmt11	Trmt11	Gene Expression
Gm20300	Gm20300	Gene Expression
Hint3	Hint3	Gene Expression
Ncoa7	Ncoa7	Gene Expression
Hddc2	Hddc2	Gene Expression
Tpd52l1	Tpd52l1	Gene Expression
Rnf217	Rnf217	Gene Expression
Zufsp	Zufsp	Gene Expression
Rwdd1	Rwdd1	Gene Expression
Fam26f	Fam26f	Gene Expression
Dse	Dse	Gene Expression
Tspyl1	Tspyl1	Gene Expression
Nt5dc1	Nt5dc1	Gene Expression
Tspyl4	Tspyl4	Gene Expression
Frk	Frk	Gene Expression
Amd2	Amd2	Gene Expression
Hdac2	Hdac2	Gene Expression
Marcks	Marcks	Gene Expression
Lama4	Lama4	Gene Expression
Fam229b	Fam229b	Gene Expression
Tube1	Tube1	Gene Expression
Fyn	Fyn	Gene Expression
Traf3ip2	Traf3ip2	Gene Expression
E130307A14Rik	E130307A14Rik	Gene Expression
Rev3l	Rev3l	Gene Expression
Mfsd4b4	Mfsd4b4	Gene Expression
Mfsd4b3	Mfsd4b3	Gene Expression
Mfsd4b1	Mfsd4b1	Gene Expression
Slc16a10	Slc16a10	Gene Expression
Gm31992	Gm31992	Gene Expression
Rpf2	Rpf2	Gene Expression
Gtf3c6	Gtf3c6	Gene Expression
Amd1	Amd1	Gene Expression
Cdk19	Cdk19	Gene Expression
Ddo	Ddo	Gene Expression
Cdc40	Cdc40	Gene Expression
Wasf1	Wasf1	Gene Expression
Fig4	Fig4	Gene Expression
Zbtb24	Zbtb24	Gene Expression
Mical1	Mical1	Gene Expression
Smpd2	Smpd2	Gene Expression
Cd164	Cd164	Gene Expression
Ccdc162	Ccdc162	Gene Expression
Gm17196	Gm17196	Gene Expression
Cep57l1	Cep57l1	Gene Expression
Sesn1	Sesn1	Gene Expression
Foxo3	Foxo3	Gene Expression
Afg1l	Afg1l	Gene Expression
Snx3	Snx3	Gene Expression
Ostm1	Ostm1	Gene Expression
Gm15199	Gm15199	Gene Expression
Sec63	Sec63	Gene Expression
Pdss2	Pdss2	Gene Expression
Bend3	Bend3	Gene Expression
Gm47889	Gm47889	Gene Expression
Gm9803	Gm9803	Gene Expression
1700021F05Rik	1700021F05Rik	Gene Expression
Qrsl1	Qrsl1	Gene Expression
Rtn4ip1	Rtn4ip1	Gene Expression
Crybg1	Crybg1	Gene Expression
Atg5	Atg5	Gene Expression
Prep	Prep	Gene Expression
Hace1	Hace1	Gene Expression
Ascc3	Ascc3	Gene Expression
Dcbld1	Dcbld1	Gene Expression
Gopc	Gopc	Gene Expression
Nus1	Nus1	Gene Expression
Cep85l	Cep85l	Gene Expression
Mcm9	Mcm9	Gene Expression
Asf1a	Asf1a	Gene Expression
Fam184a	Fam184a	Gene Expression
Man1a	Man1a	Gene Expression
Tbc1d32	Tbc1d32	Gene Expression
Msl3l2	Msl3l2	Gene Expression
Gja1	Gja1	Gene Expression
Hsf2	Hsf2	Gene Expression
Serinc1	Serinc1	Gene Expression
Pkib	Pkib	Gene Expression
Fabp7	Fabp7	Gene Expression
Smpdl3a	Smpdl3a	Gene Expression
Gcc2	Gcc2	Gene Expression
Lims1	Lims1	Gene Expression
Ranbp2	Ranbp2	Gene Expression
Ccdc138	Ccdc138	Gene Expression
Sept10	Sept10	Gene Expression
Sowahc	Sowahc	Gene Expression
P4ha1	P4ha1	Gene Expression
Gm10273	Gm10273	Gene Expression
Pla2g12b	Pla2g12b	Gene Expression
Oit3	Oit3	Gene Expression
Mcu	Mcu	Gene Expression
Micu1	Micu1	Gene Expression
Dnajb12	Dnajb12	Gene Expression
Ddit4	Ddit4	Gene Expression
Anapc16	Anapc16	Gene Expression
Ascc1	Ascc1	Gene Expression
Psap	Psap	Gene Expression
Vsir	Vsir	Gene Expression
Slc29a3	Slc29a3	Gene Expression
Unc5b	Unc5b	Gene Expression
Pcbd1	Pcbd1	Gene Expression
Sgpl1	Sgpl1	Gene Expression
Pald1	Pald1	Gene Expression
Nodal	Nodal	Gene Expression
Eif4ebp2	Eif4ebp2	Gene Expression
Lrrc20	Lrrc20	Gene Expression
Ppa1	Ppa1	Gene Expression
Sar1a	Sar1a	Gene Expression
Tysnd1	Tysnd1	Gene Expression
Aifm2	Aifm2	Gene Expression
H2afy2	H2afy2	Gene Expression
Col13a1	Col13a1	Gene Expression
Fam241b	Fam241b	Gene Expression
Tspan15	Tspan15	Gene Expression
Hk1	Hk1	Gene Expression
Supv3l1	Supv3l1	Gene Expression
Vps26a	Vps26a	Gene Expression
Srgn	Srgn	Gene Expression
Kif1bp	Kif1bp	Gene Expression
Ddx21	Ddx21	Gene Expression
Ddx50	Ddx50	Gene Expression
Ccar1	Ccar1	Gene Expression
Slc25a16	Slc25a16	Gene Expression
Dna2	Dna2	Gene Expression
Rufy2	Rufy2	Gene Expression
Hnrnph3	Hnrnph3	Gene Expression
Pbld2	Pbld2	Gene Expression
Pbld1	Pbld1	Gene Expression
Herc4	Herc4	Gene Expression
Sirt1	Sirt1	Gene Expression
Dnajc12	Dnajc12	Gene Expression
Reep3	Reep3	Gene Expression
Jmjd1c	Jmjd1c	Gene Expression
Nrbf2	Nrbf2	Gene Expression
Ado	Ado	Gene Expression
Arid5b	Arid5b	Gene Expression
Cabcoco1	Cabcoco1	Gene Expression
Gm32872	Gm32872	Gene Expression
Tmem26	Tmem26	Gene Expression
Rhobtb1	Rhobtb1	Gene Expression
A930033H14Rik	A930033H14Rik	Gene Expression
Cdk1	Cdk1	Gene Expression
Ank3	Ank3	Gene Expression
Ccdc6	Ccdc6	Gene Expression
Slc16a9	Slc16a9	Gene Expression
Bicc1	Bicc1	Gene Expression
C730027H18Rik	C730027H18Rik	Gene Expression
AC079680.2	AC079680.2	Gene Expression
Tfam	Tfam	Gene Expression
Ube2d1	Ube2d1	Gene Expression
Cisd1	Cisd1	Gene Expression
Ipmk	Ipmk	Gene Expression
Zwint	Zwint	Gene Expression
Rab36	Rab36	Gene Expression
Bcr	Bcr	Gene Expression
Specc1l	Specc1l	Gene Expression
Adora2a	Adora2a	Gene Expression
Gucd1	Gucd1	Gene Expression
Upb1	Upb1	Gene Expression
Snrpd3	Snrpd3	Gene Expression
Ggt5	Ggt5	Gene Expression
Susd2	Susd2	Gene Expression
Cabin1	Cabin1	Gene Expression
Ddt	Ddt	Gene Expression
Gstt3	Gstt3	Gene Expression
Gstt1	Gstt1	Gene Expression
Gstt2	Gstt2	Gene Expression
Mif	Mif	Gene Expression
Derl3	Derl3	Gene Expression
Smarcb1	Smarcb1	Gene Expression
Chchd10	Chchd10	Gene Expression
Zfp280b	Zfp280b	Gene Expression
Prmt2	Prmt2	Gene Expression
Dip2a	Dip2a	Gene Expression
Pcnt	Pcnt	Gene Expression
Ybey	Ybey	Gene Expression
Mcm3ap	Mcm3ap	Gene Expression
Lss	Lss	Gene Expression
Gm15343	Gm15343	Gene Expression
Ftcd	Ftcd	Gene Expression
Col6a2	Col6a2	Gene Expression
Col6a1	Col6a1	Gene Expression
Pcbp3	Pcbp3	Gene Expression
Slc19a1	Slc19a1	Gene Expression
Col18a1	Col18a1	Gene Expression
Pofut2	Pofut2	Gene Expression
Adarb1	Adarb1	Gene Expression
Fam207a	Fam207a	Gene Expression
Itgb2	Itgb2	Gene Expression
Pttg1ip	Pttg1ip	Gene Expression
Sumo3	Sumo3	Gene Expression
Ube2g2	Ube2g2	Gene Expression
Lrrc3	Lrrc3	Gene Expression
Trpm2	Trpm2	Gene Expression
1810043G02Rik	1810043G02Rik	Gene Expression
Pfkl	Pfkl	Gene Expression
Icosl	Icosl	Gene Expression
D10Jhu81e	D10Jhu81e	Gene Expression
Pwp2	Pwp2	Gene Expression
Trappc10	Trappc10	Gene Expression
Gm30122	Gm30122	Gene Expression
Agpat3	Agpat3	Gene Expression
Rrp1	Rrp1	Gene Expression
Cstb	Cstb	Gene Expression
4921516A02Rik	4921516A02Rik	Gene Expression
Pdxk	Pdxk	Gene Expression
Ilvbl	Ilvbl	Gene Expression
Syde1	Syde1	Gene Expression
2610008E11Rik	2610008E11Rik	Gene Expression
Gm47015	Gm47015	Gene Expression
Plpp2	Plpp2	Gene Expression
Mier2	Mier2	Gene Expression
Tpgs1	Tpgs1	Gene Expression
Cdc34	Cdc34	Gene Expression
Bsg	Bsg	Gene Expression
Hcn2	Hcn2	Gene Expression
Polrmt	Polrmt	Gene Expression
Rnf126	Rnf126	Gene Expression
Palm	Palm	Gene Expression
Misp	Misp	Gene Expression
Ptbp1	Ptbp1	Gene Expression
Plppr3	Plppr3	Gene Expression
Prtn3	Prtn3	Gene Expression
Elane	Elane	Gene Expression
Med16	Med16	Gene Expression
R3hdm4	R3hdm4	Gene Expression
Arid3a	Arid3a	Gene Expression
Wdr18	Wdr18	Gene Expression
Tmem259	Tmem259	Gene Expression
Cnn2	Cnn2	Gene Expression
Abca7	Abca7	Gene Expression
Arhgap45	Arhgap45	Gene Expression
Polr2e	Polr2e	Gene Expression
Gpx4	Gpx4	Gene Expression
Sbno2	Sbno2	Gene Expression
Stk11	Stk11	Gene Expression
Cbarp	Cbarp	Gene Expression
Atp5d	Atp5d	Gene Expression
Midn	Midn	Gene Expression
Cirbp	Cirbp	Gene Expression
1600002K03Rik	1600002K03Rik	Gene Expression
Efna2	Efna2	Gene Expression
Mum1	Mum1	Gene Expression
Ndufs7	Ndufs7	Gene Expression
Gamt	Gamt	Gene Expression
Dazap1	Dazap1	Gene Expression
Rps15	Rps15	Gene Expression
2310011J03Rik	2310011J03Rik	Gene Expression
Pcsk4	Pcsk4	Gene Expression
Reep6	Reep6	Gene Expression
Adamtsl5	Adamtsl5	Gene Expression
Plk5	Plk5	Gene Expression
Mex3d	Mex3d	Gene Expression
Mbd3	Mbd3	Gene Expression
Uqcr11	Uqcr11	Gene Expression
Tcf3	Tcf3	Gene Expression
Rexo1	Rexo1	Gene Expression
Klf16	Klf16	Gene Expression
Abhd17a	Abhd17a	Gene Expression
Gm49322	Gm49322	Gene Expression
Csnk1g2	Csnk1g2	Gene Expression
Btbd2	Btbd2	Gene Expression
Mknk2	Mknk2	Gene Expression
Mob3a	Mob3a	Gene Expression
Izumo4	Izumo4	Gene Expression
Ap3d1	Ap3d1	Gene Expression
Dot1l	Dot1l	Gene Expression
Plekhj1	Plekhj1	Gene Expression
Sf3a2	Sf3a2	Gene Expression
Oaz1	Oaz1	Gene Expression
Lsm7	Lsm7	Gene Expression
Sppl2b	Sppl2b	Gene Expression
Timm13	Timm13	Gene Expression
Lmnb2	Lmnb2	Gene Expression
Gadd45b	Gadd45b	Gene Expression
Gng7	Gng7	Gene Expression
Slc39a3	Slc39a3	Gene Expression
Sgta	Sgta	Gene Expression
Thop1	Thop1	Gene Expression
Creb3l3	Creb3l3	Gene Expression
Map2k2	Map2k2	Gene Expression
Zbtb7a	Zbtb7a	Gene Expression
Pias4	Pias4	Gene Expression
Eef2	Eef2	Gene Expression
Dapk3	Dapk3	Gene Expression
Mrpl54	Mrpl54	Gene Expression
Apba3	Apba3	Gene Expression
Tjp3	Tjp3	Gene Expression
Pip5k1c	Pip5k1c	Gene Expression
Cactin	Cactin	Gene Expression
Tbxa2r	Tbxa2r	Gene Expression
Hmg20b	Hmg20b	Gene Expression
Mfsd12	Mfsd12	Gene Expression
Fzr1	Fzr1	Gene Expression
Dohh	Dohh	Gene Expression
Gm48551	Gm48551	Gene Expression
Smim24	Smim24	Gene Expression
Nfic	Nfic	Gene Expression
Ncln	Ncln	Gene Expression
Gna11	Gna11	Gene Expression
Aes	Aes	Gene Expression
Tle2	Tle2	Gene Expression
Tle6	Tle6	Gene Expression
BC025920	BC025920	Gene Expression
Sirt6	Sirt6	Gene Expression
Ankrd24	Ankrd24	Gene Expression
Zfp433	Zfp433	Gene Expression
Gm32687	Gm32687	Gene Expression
Zfp873	Zfp873	Gene Expression
BC024063	BC024063	Gene Expression
AU041133	AU041133	Gene Expression
AC158605.1	AC158605.1	Gene Expression
Zfp938	Zfp938	Gene Expression
Gm4924	Gm4924	Gene Expression
1190007I07Rik	1190007I07Rik	Gene Expression
Tdg	Tdg	Gene Expression
Hcfc2	Hcfc2	Gene Expression
Nfyb	Nfyb	Gene Expression
Txnrd1	Txnrd1	Gene Expression
Eid3	Eid3	Gene Expression
Slc41a2	Slc41a2	Gene Expression
D10Wsu102e	D10Wsu102e	Gene Expression
Washc4	Washc4	Gene Expression
Appl2	Appl2	Gene Expression
Nuak1	Nuak1	Gene Expression
Ckap4	Ckap4	Gene Expression
Tcp11l2	Tcp11l2	Gene Expression
Polr3b	Polr3b	Gene Expression
Rfx4	Rfx4	Gene Expression
Ric8b	Ric8b	Gene Expression
Tmem263	Tmem263	Gene Expression
Mterf2	Mterf2	Gene Expression
Cry1	Cry1	Gene Expression
Pwp1	Pwp1	Gene Expression
Prdm4	Prdm4	Gene Expression
Rtcb	Rtcb	Gene Expression
Fbxo7	Fbxo7	Gene Expression
Syn3	Syn3	Gene Expression
Timp3	Timp3	Gene Expression
Hsp90b1	Hsp90b1	Gene Expression
Ttc41	Ttc41	Gene Expression
Nt5dc3	Nt5dc3	Gene Expression
Stab2	Stab2	Gene Expression
Pah	Pah	Gene Expression
Igf1os	Igf1os	Gene Expression
Igf1	Igf1	Gene Expression
Parpbp	Parpbp	Gene Expression
Nup37	Nup37	Gene Expression
Washc3	Washc3	Gene Expression
Dram1	Dram1	Gene Expression
Gnptab	Gnptab	Gene Expression
Chpt1	Chpt1	Gene Expression
Spic	Spic	Gene Expression
Arl1	Arl1	Gene Expression
Utp20	Utp20	Gene Expression
Gas2l3	Gas2l3	Gene Expression
Nr1h4	Nr1h4	Gene Expression
Slc17a8	Slc17a8	Gene Expression
Scyl2	Scyl2	Gene Expression
Actr6	Actr6	Gene Expression
Uhrf1bp1l	Uhrf1bp1l	Gene Expression
Apaf1	Apaf1	Gene Expression
