Symbol	RNA
Agfg1	Agfg1	Gene Expression
Pid1	Pid1	Gene Expression
Trip12	Trip12	Gene Expression
Fbxo36	Fbxo36	Gene Expression
Sp110	Sp110	Gene Expression
Sp140	Sp140	Gene Expression
Sp100	Sp100	Gene Expression
A630001G21Rik	A630001G21Rik	Gene Expression
Cab39	Cab39	Gene Expression
Itm2c	Itm2c	Gene Expression
2810459M11Rik	2810459M11Rik	Gene Expression
Psmd1	Psmd1	Gene Expression
Armc9	Armc9	Gene Expression
Ncl	Ncl	Gene Expression
Ptma	Ptma	Gene Expression
Pde6d	Pde6d	Gene Expression
Cops7b	Cops7b	Gene Expression
Dis3l2	Dis3l2	Gene Expression
Eif4e2	Eif4e2	Gene Expression
Gigyf2	Gigyf2	Gene Expression
Ngef	Ngef	Gene Expression
Neu2	Neu2	Gene Expression
Inpp5d	Inpp5d	Gene Expression
Atg16l1	Atg16l1	Gene Expression
Dgkd	Dgkd	Gene Expression
Usp40	Usp40	Gene Expression
Ugt1a9	Ugt1a9	Gene Expression
Ugt1a7c	Ugt1a7c	Gene Expression
Ugt1a6b	Ugt1a6b	Gene Expression
Ugt1a6a	Ugt1a6a	Gene Expression
Ugt1a5	Ugt1a5	Gene Expression
Ugt1a1	Ugt1a1	Gene Expression
Mroh2a	Mroh2a	Gene Expression
Hjurp	Hjurp	Gene Expression
Spp2	Spp2	Gene Expression
Arl4c	Arl4c	Gene Expression
Agap1	Agap1	Gene Expression
Ackr3	Ackr3	Gene Expression
Cops8	Cops8	Gene Expression
Col6a3	Col6a3	Gene Expression
Rab17	Rab17	Gene Expression
Lrrfip1	Lrrfip1	Gene Expression
Ramp1	Ramp1	Gene Expression
Ube2f	Ube2f	Gene Expression
Scly	Scly	Gene Expression
Ilkap	Ilkap	Gene Expression
Hes6	Hes6	Gene Expression
Per2	Per2	Gene Expression
Traf3ip1	Traf3ip1	Gene Expression
Asb1	Asb1	Gene Expression
Hdac4	Hdac4	Gene Expression
Ndufa10	Ndufa10	Gene Expression
Cops9	Cops9	Gene Expression
Gpc1	Gpc1	Gene Expression
Dusp28	Dusp28	Gene Expression
5033417F24Rik	5033417F24Rik	Gene Expression
Rnpepl1	Rnpepl1	Gene Expression
